Chương,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
Chương 3,"Theo Hồ Chí Minh, về bước đi trong thời k ỳ quá độ, chúng ta phải:",Theo bước đi của các nước xã hội chủ nghĩa,Căn cứ vào đặc điểm lịch sử cụ thể của nước ta từ đó c ó bước đi phù hợp,"Căn cứ vào đặc điểm lịch sử cụ thể của nước ta từ có có bước đi ph ù hợp, đi bước nào vững chắc bước ấy",Theo bước đi và cách làm của Liên Xô,
Chương 3,"Theo Hồ Chí Minh, để xác định bước đi t rong thời kỳ quá độ, chúng ta phải:","Quán triệt các nguyên lý cơ bản của của chủ nghĩa Lênin về xây dựng chế độ mới, có thể tham khảo, học tập kinh nghiệm của các nước anh em B.Xuất phát từ điều kiện thực tế, đặc điểm dân tộc, nhu cầu và khả năng thực tế của nhân dân",,Cả a và b đều đúng,Cả a và b đều sai,
Chương 3,"Căn cứ vào thực tiến xây dựng chủ nghĩa xã hội ở V iệt Nam, theo Hồ Chí Minh, độ dài của thời kỳ quá độ lê n chủ nghĩa xã hội ở nước ta là:",15 năm,20 năm,100 năm,Lâu dài,
Chương 3,Theo Hồ Chí Minh có mấy loại hình đi lê n chủ nghĩa xã hội?,Một,Hai,Ba,Bốn,
Chương 3,Theo Hồ Chí Minh: Việt Nam quá độ lên chủ nghĩa xã h ội thuộc loại hình nào?,Quá độ trực tiếp,Quá độ gián tiếp,"Vừa trực tiếp, vừa gián tiếp",Phát triển tuần tự,
Chương 3,"Theo Hồ Chí Minh, nhiệm vụ lịch sử của th ời kỳ quá độ lên chủ nghĩa xã hội ở nước ta là:",Xây dựng nền tảng vật chất và kỷ thuật của chủ nghĩa xã hội,Cải tạo nền kinh tế cũ và xây dựng nền kinh tế mới,Không có phương án nào đúng,Không có phương án nào sai,
Chương 3,"Luận điểm nào sau đây là sai? Theo tư tưởng Hồ Chí Minh, trong thời kỳ quá độ còn tồn tại các hình thức s ở hữu:",Sỡ hữu nhà nước,Sỡ hữu tập thế,Sở hữu công cộng,Sở hữu của người lao động và của nhà tư bản,
Chương 3,"Hồ Chí Minh nói: ""Chủ nghĩa xã hội cộng với khoa h ọc sẽ đưa loài người đến [............ ]"". Hãy điền vào ô trống để hoàn t hiện câu trên",Hạnh phúc vô tận;,Tương lai xán lạn;,Tự do;,Sự phát triển toàn diện.,
Chương 4,Tìm luận điểm không đúng với tư tưởng Hồ Chí Minh:,Công nghiệp hóa là con đường tất yếu phải đi của chúng ta,Công nghiệp hóa phải bắt đầu từ xây dựng và phát triển công nghiệp nặng,"Công nghiệp hóa phải trên cơ sở xây dựng, phát triển một nền nông nghiệp toàn diện","Công nghiệp hóa phải trên cơ sở pt công nghiệp nhẹ, tiểu thủ công nghiệp",
Chương 4,"Đảng cộng sản Việt Nam ra đời ngày tháng nă m nào, tại đâu?",Ngày 3/2/1929 tại Tân Trào.,Ngày 3/2/1930 tại Pắc Pó,Ngày 26/3/1931 tại Hương Cảng- Trung Quốc,,
Chương 4,Tư tưởng Hồ Chí Minh về Đảng Cộng sản đư ợc hình thành trên cơ sở nào?,Lý luận,Thực tiễn,Không có cơ sở nào,Cả lý luận và thực tiễn,
Chương 4,"Theo Hồ Chí Minh, Đảng Cộng sản Việt Nam là Đảng của:",Giai cấp công nhân,Nhân dân lao động,Giai cấp nông dân,"Giai cấp công nhân, nhân dân lao động và của dân tộc Việ t Nam",
Chương 4,"Theo Hồ Chí Minh, mục tiêu, lý tưởng của Đảng Cộ ng sản Việt Nam là:",Vì lợi ích của giai cấp công nhân,"Phụng sự tổ quốc, phục vụ nhân dân",Xây dựng một nước Việt Nam giàu mạnh,"Đảng ta không có mục đích , lý tưởng nào",
Chương 4,Ai là người chủ trì Hội nghị thành lập Đảng Cộng s ản Việt Nam?,Nguyễn Ái Quốc,Trường Chinh,Lê Hồng Phong,Trần Phú,
Chương 4,Đại biểu các tổ chức nào đã tham dự Hội nghị thành lậ p Đảng năm 1930?,"Đông Dương CS Đảng, An Nam CS Đảng và Đông Dương CS Liên Đoàn",Đông Dương Cộng Sản Đảng và An Nam cộng sản Đảng,An Nam Cộng sản Đảng và Đông Dương Cộng Sản Liên Đoàn,Đông Dương Cộng Sản Đảng và Đông Dương Cộng Sản Li ên Đoàn.,
Chương 4,Đảng ta có tên gọi Đảng Lao động Việt Nam từ khi nào?,1941,1945,1951,1955,
Chương 4,"Khi mới thành lập, Đảng ta có tên gọi là gì?",Đảng Cộng sản Đông Dương,Đảng Cộng sản Việt Nam,Đảng Lao động Việt Nam,An Nam Cộng sản Đảng,
Chương 4,"Theo Hồ Chí Minh, một trong những nguyên tắc tổ chức và sinh hoạt Đảng cơ bản đó là:",Thiểu số phục tùng đa số,Biểu quyế t hoặc bỏ phiếu kín,Cấp dưới phục tùng cấp trên .,Tập trung dân chủ,
Chương 4,Bản chất giai cấp công nhân của Đảng Cộng sản Việt Nam thể hiện ở:,"Nền tảng lý luận, mục tiêu, nguyên tắc tổ chức của Đảng",Mục tiêu của Đảng,Số lượng đảng viên trong Đảng,Trình độ đảng viên trong Đảng,
Chương 4,Chon câu trả lời đúng nhất theo tư tưởng Hồ Chí Minh:,Đảng Cộng sản Việt Nam là Đảng của giai cấp công nhân,Đảng Cộng sản Việt Nam là Đảng của nhân dân lao động,"Đảng Cộng sản Việt Nam là Đảng của giai cấp công nhân, nhân dân lao động và của dân tộc Việt Nam",Đảng Cộng sản Việt Nam là Đảng của giai cấp công nông,
Chương 4,Chọn câu trả lời sai theo tư tưởng Hồ Chí Minh về nguyên tắc xây dựng Đảng Cộng sản Việt Nam?,Tập trung dân chủ,Thiểu số phục tùng đa số,Tự phê bình và phê bình,Đoàn kết thống nhất trong Đảng,
Chương 4,"Theo Hồ Chí Minh, Đảng Cộng sản Việt Nam phải được xây dựng theo:",3 nguyên tắc,4 nguyên tắc,5 nguyên tắc .,6 nguyên tắc,
Chương 4,"Theo tư tưởng Hồ Chí Minh, Đảng Cộng sản Việt Nam vừa là người lãnh đạo, vừa là người đầy tớ trung thành của n hân dân, Đảng phải chăm lo mối quan hệ giữa Đảng với nhân dân là nhằ m: a - Xác định vị thế cầm quyền của Đảng b - Xác định năng lực cầm quyền của Đảng c - Xác định phương thức cầm quyền của Đảng d – Tất cả các phương án đều đúng",,,,,
Chương 4,Nguyên tắc xây dựng Đảng kiểu mới theo tư tưởng Hồ Chí Minh là:,Tập trung dân chủ; Tập thể lãnh đạo cá nhân phụ trách;,Tự phê bình và phê bình,Đoàn kết thống nhất trong Đảng,Tất cả các nguyên tắc đều đúng,
Chương 4,"Luận điểm: “Đảng muốn vững thì phải có chủ nghĩa làm cột, trong Đảng ai cũng phải hiểu, ai cũng phải theo chủ n ghĩa ấy. Đảng mà không có chủ nghĩa như người không có tr í khôn, tàu không có bản chỉ nam”, được trích từ tác phẩm nào của Hồ Chí Minh?",Tuyên ngôn độc lập,Điều lệ vắn tắt,Đường Cách mệnh,Thường thức Chính trị,
Chương 4,Đảng Cộng sản Việt Nam trở thành Đảng cầm quyền năm nào?,1930,1945 b,1951,1975,
Chương 4,Hồ Chí Minh đã xác định: “Đảng ta là một đảng cầm quyền” trong văn kiên nào?,Chánh cương vắn tắt của Đảng,Bác cáo Chính trị tại Đại hội đại biểu toàn quốc lần thứ II của Đảng,Đường Cách mệnh,Di chúc,
Chương 4,"""Chúng ta làm cách mệnh thì cũng phải liên lạc tất cả những đảng cách mệnh trong thế giới để chống lại tư bản và đế q uốc chủ nghĩa"". Câu nói đó được Nguyễn Ái Quốc viết trong tác phẩ m nào?",Bản án chế độ thực dân Pháp,Đường cách mệnh,V. I. Lênin và các dân tộc thuộc địa,Trung Quốc và Thanh niên Trung Quốc,
Chương 4,"""Trước hết phải có Đảng cách mệnh để trong thì vận động và tổ chức dân chúng, người thì liên l ạc với dân tộc bị áp bức và vô sản giai cấp mọi nơi."" Câu nói đó được Nguyễn Ái Q uốc viết trong tác phẩm nào?",Đường cách mệnh,Sửa đổi lối làm việc,Đây “công lý” của thực dân Pháp ở Đông Dương,V. I. Lênin và Phương Đông,
Chương 4,"Luận điểm: “Phải giữ gìn Đảng ta thật trong sạch, phải xứng đáng là người lãnh đạo, là người đầy tớ thật tr ung thành của nhân dân” được trích từ tác phẩm nào của Hồ Chí Minh?",Sửa đổi lối làm việc,Di chúc,Đường Cách mệnh,Thườ ng thức Chính trị,
Chương 4,"Quan điểm: “Đảng là đạo đức, là văn minh” được Hồ Chí Minh trình bày trong tác phẩm nào?",Bác cáo Chính trị tại Đại hội đại biểu toàn quốc lần thứ II của Đảng,Bài nói chuyện tại lễ kỷ niệm 30 năm thành lập Đảng,Sách lược vắn tắt,Đường Cách mệnh,
Chương 4,"Theo Hồ Chí Minh, trong quan hệ với quần chúng, Đảng phải:",Luôn nghe theo quần chúng,Thực hiện theo yêu cầu của quần chúng,Không được theo đuôi quần chúng,Luôn lắng nghe và thực hiện theo yêu cầu của quần chúng,
Chương 4,"Theo Hồ Chí Minh, nguy cơ lớn nhất của một đảng cầm quyền là:",Diến biến hòa bình,Chệch hướng,"Sai lầm về đường lối và sự suy thoái đạo đức của cán bộ, đảng viên.",Tụt hậu,
Chương 4,"Chọn cụm từ điền vào chỗ trống […...]: Trong Di chúc, Hồ Chí Minh đã xác định: “Đảng t a là một đảng cầm quyền. Mỗi đảng viên phải thực sự thấm n huần [……]”.",Mục tiêu của Đảng,Nền tảng tư tưởng của Đảng,Đường lối của Đảng,Đạo đức cách mạng,
Chương 4,"Theo tư tưởng Hồ Chí Minh, luận điểm Đảng Cộng sản Việt Nam là sản phẩm của sự kết hợp giữa chủ nghĩa M ácLênin với phong trào công nhân và phong trào yêu nước là: a - Xác định nhiệm vụ của Đảng b - Xác định bản chất c ủa Đảng c - Xác định nguồn gốc ra đời của Đảng d - Xác định năng lực của Đảng",,,,,
Chương 4,"Theo tư tưởng Hồ Chí Minh, luận điểm Đảng Cộng sản Việt Nam là nhân tố quyết định hàng đầu để đưa cách mạng Việt Nam đi đến thắng lợi là: a - Xác định vị thế cầm quyền của Đảng b - Xác định bản chất của Đảng c - Xác định vai trò lãnh đạo của Đảng d - Xác định nhiệm vụ của Đảng",,,,,
Chương 4,"Theo tư tưởng Hồ Chí Minh, luận điểm Đảng Cộng sản Việt Nam là Đảng của giai cấp công nhân, đồng thời l à Đảng của nhân dân lao động và của dân tộc Việt Nam nhằm: a - Xác định vị thế cầm quyền của Đảng b - Xác định bản chất của Đảng c - Xác định nguồn gốc ra đời của Đảng d - Xác định năng lực của Đảng",,,,,
Chương 4,"Theo tư tưởng Hồ Chí Minh, Đảng Cộng sản Việt Nam phải lấy chủ nghĩa Mác – Lênin ”làm cốt”, nghĩa là :",Đảng Cộng sản Việt Nam phải lấy chủ nghĩa Mác – Lêni n làm nền tảng tư tưởng,"Đảng Cộng sản Việt Nam phải lấy chủ nghĩa Mác – Lênin làm chủ trương, đườ ng lối",Đảng Cộng sản Việt Nam phải lấy chủ nghĩa Mác – Lênin làm học thuyết của Đảng,Đảng Cộng sản Việt Nam phải căn cứ hoàn toàn vào chủ nghĩa Mác – Lênin để lãnh đạo cách mạng,
Chương 4,"Nguyễn Ái Quốc đã trích dẫn luận điểm nổi tiếng của V. I. Lênin : ""không có lý luận cách mệnh thì k hông có các h mệnh vận động ... chỉ có theo lý luận cách mệnh tiền phong, Đảng cách mện h mới làm nổi trách nhiệm cách mệnh tiền phong"" câu nói đư ợc ghi ở trang đầu tiên của cuốn sách nào?",Bản án chế độ thực dân Pháp,Nhật ký trong tù Việt Nam,Đường cách mệnh,V. I. Lênin và các dân tộc thuộc địa,
Chương 4,"""Công nông là gốc cách mệnh, còn học trò, nhà buôn nhỏ, địa chủ nhỏ, ... là bầu bạn cách mệnh của công nông"". Nguyễn ái Quốc viết câu đó trong tác phẩm n ào?",Bản án chế độ thực dân Pháp,Nông dân Trung Quốc,V. I. Lênin và Phương Đông,Đường cách mệnh,
Chương 4,"“Tất cả các dân tộc trên thế giới đều sinh ra bình đẳng, dân tộc nào cũng có quyền sống, quyền sung sướng và quyề n tự do”. Hồ Chí Minh nói câu đó trong văn kiện nào?",Quân lệnh số 1 của Uỷ ban khởi nghĩa toàn quốc.,Lời kêu gọi Tổng khởi nghĩa của Hồ Chí Minh,Hiệu triệu Tổng khởi nghĩa của Tổng bộ Việt Minh.,Lời kêu gọi Toàn quốc kháng chiến của Hồ Chí Minh,
Chương 4,"Theo tư tưởng Hồ Chí Minh, mục đích, lý tưởng của Đảng cầm quyền là:",Xây dựng một nước Việt Nam giàu mạnh,"Vì lợi ích của Tổ quốc, của nhân dân",Xây dựng thành công chủ nghĩa xã hội,"Không tham ô, tham những",
Chương 4,Tại sao nói Đảng Cộng sản Việt Nam ra đời đánh dấu bước ngoặt quyết định của cách mạng Việt Nam?,"Vì đó là một tất yếu lịch sử, phản ánh đúng xu thế khách quan của lị ch sử cách mạng Việt Nam.","Vì nó đã chấm dứt thời kỳ khủng hoảng về đường lối cứu nước của cá ch mạng Việt Nam, đánh dấu sự chín muồi và tự giác của phong trào công nhân Việt Nam","Vì Đảng ra đời đã đưa giai cấp công nhân lên vũ đài chính trị nắm quyền lãnh đạo c ách mạng Việt Nam, đưa cách mạng nước ta đi từ thắng lợi này đến thắng lợi khác.","Cả a, b và c đều đúng",
Chương 4,Mâu thuẫn cơ bản và chủ yếu ở Việt Nam đầu thế kỷ XX là mâu thuẫn nào?,Mâu thuẫn giữa giai cấp nông dân với giai cấp địa chủ phong kiến.,Mâu thuẫn giữa giai cấp công nhân với giai cấp tư sản,Mâu thuẫn giữa giai cấp công nhân và nông dân với đế quốc phong kiến,Mâu thuẫn giữa dân tộc Việt Nam với đế quốc xâm lượ c và tay sai của chúng.,
